File,Text,Acoustic_Annotation,Semantic_Analysis
Ses04F_script01_1_M038," The business, the business doesn't inspire me.",ang,negative
Ses04F_script01_1_F041," because what the hell did we work for?  This whole shooting match is just for you, Chris.",ang,negative
Ses01F_impro05_F014," You're kidding me, this is a joke.",ang,negative
Ses01F_impro05_F015, Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive.,ang,negative
Ses01F_impro05_F017, I don't care what you're freaking sign says.  Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.,ang,negative
Ses01F_impro05_F021, You are cruising for a bruising.  You are in so much trouble.,ang,negative
Ses04F_script01_3_M000, I know it went out of style didn't it?,ang,negative
Ses04M_impro08_F015, And I did everything they said.  And now i'm talking to you and you're supposed to put the money back on my account because I didn't make the calls and I'm really tired of dealing with this because I didn't even,ang,negative
Ses05F_script02_2_F005," God damn it, Augie.  Why do you always ask things like that?  It's so insulting.",ang,negative
Ses03M_impro08b_F005," Yeah, yeah, yeah you better be sorry.",ang,negative
Ses04M_impro01_M015, Well I just -- I can't do that right -- can you please just grab the form? All you have to do is grab the form.  I'm not gonna ask anything else of you.,ang,negative
Ses04M_impro01_F018, So go get in the other line or leave.  Or I will have you escorted out by security.,ang,negative
Ses03F_impro08_M000," Hey, you stupid dumb shit machine, give me a fucking operator, huh?",ang,negative
Ses03F_impro08_M009, What?  Are you kidding me?,ang,negative
Ses03F_impro08_M011, I- I'm going to kill myself right now.,ang,negative
Ses02M_script02_2_F005, Goddamn it Augie don't ask me that. I hate it when you ask me that. You always ask me that. It's insulting.,ang,negative
Ses04F_script01_2_M017," What does that mean, me above all?  Look at you.  You're shaking.",ang,negative
Ses05M_script02_2_F005," God damn it, Augie.  Seriously, you always ask me that.  Why do you ask me that?  I hate it.  It's so insulting.",ang,negative
Ses05M_script02_2_F010," No, we won't.  It's like waiting up for Santa Clause or something.  I feel like as though my whole life is going to be standing on the beach waiting with my eyes opened expectantly, my hands clasped neatly in front of me, waiting for fish to show up.  And the fish will not show up.",ang,negative
Ses01M_script02_2_F010," Why do you ask me that?  God damn it, I told you not to ask me that I hate it when you ask me that. It's insulting.",ang,negative
Ses01M_script02_2_M033," A new carpet, a poodle, a suicide pact, ice cream, a back rub, what?  What?  What the hell do you want?",ang,negative
Ses01M_script02_2_M035, You think nothing turns out how it's supposed to.  You think I had some grand idea going that four years down the line.  We would come to this beach and argue over fish?  No.,ang,negative
Ses01F_script02_1_F016, I just don't.  It's stupid.,ang,negative
Ses04M_script03_1_M013, All the futile moralists who try to make life unbearable.  Laugh at them.  Be flippant.  Laugh at everything.  All their sacred shibboleths.  Flippancy brings out the acid- acid in their damn sweetness and light.,ang,negative
Ses04M_script03_1_M025, Horrible thing.  I hated it.,ang,negative
Ses03M_impro08a_F013," You sign the contract and then down the line the phone doesn't work and you're stuck, you can't go to a new...no.  No contracts for me.  You give me a new phone.",ang,negative
Ses03M_impro08a_F015, I would like to talk to your supervisor.  Obviously you're incompetent and don't understand what I'm asking.,ang,negative
Ses03M_impro08a_F022, That you better be sorry.,ang,negative
Ses05M_impro01_M005," I'm not getting a -- well, you wait in this line and not get an attitude.",ang,negative
Ses05M_impro01_F023," Well, that's unfortunate, sir.  You're gonna have to go stand in the other line now.",ang,negative
Ses02F_script02_2_F005," God damn it, Augie, don't ask me that.  I hate it when you ask me that.  You always ask me that.  It's insulting.",ang,negative
Ses02F_script02_2_F011," I mean, I feel like my whole life is gonna be spent standing on the beach with my eyes wide open and my hands clasped expectantly waiting for the fish to show up.  And the fish won't show up.",ang,negative
Ses04F_impro04_F011, Clearly everything you're doing is completely wrong.,ang,negative
Ses04F_impro04_F017, Okey So I'm doing something wrong.  What am I doing wrong?,ang,negative
Ses04F_impro04_F025, Well you- just you're doing something wrong.,ang,negative
Ses03M_script01_1_M022, Oh see then it's just not my business. God you infuriate me sometimes.  Isn't my business too if dad throws a fit?  Huh?  God you have such a talent for ignoring things.,ang,negative
Ses03M_script01_1_M039, I've been a good son too long.  A good sucker and I'm through with it.,ang,negative
Ses03M_script01_1_F038, You're just going to leave the business?  You have a business here.  You can't do that.,ang,negative
Ses03M_script01_1_M040, The business doesn't inspire me.,ang,negative
Ses03F_script02_1_F012, Pass up what? A bunch of fish. They swim up to the beach and they flop around and they swim away and then they die.,ang,negative
Ses01M_script02_1_M028, People in Kansas would have to get plane tickets and make hotel reservations to see this.  It's only forty minutes away; it's just too good to pass up.,ang,negative
Ses01M_script02_1_F022," Last year, you'll also remember we got--our shoes got wet, I got sand in my panties, you got a sore throat, we got into a big fight and we did not see the grunions.",ang,negative
